Component ID,Component Name,Subsystem,Depends On (IDs),Duration (hrs),Is Critical Path,Weight (kg),Material,Notes
C001,V6 Cylinder Block (1.6L 90° Bank),ICE – Internal Combustion Engine,,48,✓ CRITICAL,12,Cast Aluminium Alloy,"80mm bore, 90° bank angle per FIA regs. K-Plating applied (Kumamoto method) to bore surface"
C002,Crankshaft,ICE – Internal Combustion Engine,C001,24,✓ CRITICAL,3.8,Forged Steel,Connects to MGU-K via gear. Must balance torsional resonance (key failure mode 2015–2017)
C003,Connecting Rods (x6),ICE – Internal Combustion Engine,"C001,C002",12,✓ CRITICAL,0.9,Titanium Alloy,"Ultra-lightweight; 6 cylinders, each 150g. Tolerance <0.01mm"
C004,Pistons (x6),ICE – Internal Combustion Engine,"C001,C003",16,✓ CRITICAL,0.6,Forged Aluminium / Steel Crown,3D-printed steel pistons (additive mfg) used from RA620H 2020. Complex internal ribbing
C005,Piston Rings (x18),ICE – Internal Combustion Engine,C004,4,—,0.1,Chrome-Molybdenum Steel,3 rings per piston; K-Plating bore reduces ring wear at high combustion pressure
C006,Cylinder Head (x2 banks),ICE – Internal Combustion Engine,"C001,C004",36,✓ CRITICAL,4.5,Aluminium Alloy,"32° valve angle, flat-top combustion chamber for rapid combustion (RA621H 2021 redesign)"
C007,Intake Valves (x12),ICE – Internal Combustion Engine,C006,8,—,0.05,Titanium Alloy,2 intake valves per cylinder. Minimum stem diameter 5mm per FIA regs
C008,Exhaust Valves (x12),ICE – Internal Combustion Engine,C006,8,—,0.06,Inconel 713,High-temp alloy; exhaust exits outside bank (per regs). Feeds turbine
C009,Camshafts (x4),ICE – Internal Combustion Engine,"C006,C007,C008",14,✓ CRITICAL,0.8,Case-Hardened Steel,2 DOHC per bank. Drives valve timing. Pneumatic valve springs (not mechanical)
C010,Valve Actuation – Pneumatic System,ICE – Internal Combustion Engine,C009,6,—,0.4,Titanium / Stainless Steel,"Replaces coil springs; enables 20,000+ rpm without valve float"
C011,Engine Block Lower Casing,ICE – Internal Combustion Engine,"C001,C002",10,—,5,Cast Aluminium,Structural load path for PU mounting to gearbox
C012,Direct Injection System (x6 injectors),ICE – Internal Combustion Engine,C006,8,✓ CRITICAL,0.3,Stainless Steel / Piezo,Max injection pressure 500 bar per FIA regs. Critical for new combustion process (2019+)
C013,Ignition System (x6 coils + spark plugs),ICE – Internal Combustion Engine,"C006,C012",4,—,0.2,Iridium / Copper Core,Synchronised with MGU-H energy recovery for combustion efficiency
C014,Exhaust Manifold (equal-length runners),ICE – Internal Combustion Engine,C008,20,✓ CRITICAL,2.1,Inconel 625,Individual equal-length runners reworked RA617H+. Feeds turbine efficiently
C015,Engine Assembly & Bench Calibration,ICE – Internal Combustion Engine,"C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014",36,✓ CRITICAL,—,—,Full ICE assembly + dyno calibration at Sakura HRC facility
C016,Turbine Housing,Turbocharger System,C014,20,✓ CRITICAL,1.8,Inconel (3D-printed),Additive manufactured from 2020. Rear-projecting layout (RA617H+ redesign)
C017,Turbine Blades / Wheel,Turbocharger System,C016,16,✓ CRITICAL,0.4,Nickel Superalloy,3D complex blade geometry for high efficiency. HondaJet gas turbine knowledge applied
C018,Compressor Housing,Turbocharger System,,18,✓ CRITICAL,1.2,Aluminium Alloy,Front-projecting (RA617H redesign). Freed from V-bank; larger size for higher airflow
C019,Compressor Wheel,Turbocharger System,C018,14,✓ CRITICAL,0.3,Titanium Alloy,Wide pressure ratio coverage. Redesigned 2019 French GP for efficiency across full range
C020,Turbo Shaft (MGU-H Drive Shaft),Turbocharger System,"C017,C019",10,✓ CRITICAL,0.2,High-strength Steel,Connects turbine-MGU-H-compressor. Changed to longer shaft 2017 for turbine efficiency
C021,Turbo Bearing Assembly,Turbocharger System,C020,8,—,0.1,Ceramic / Steel (oil-lubricated),Changed greased→oil lubrication RA618H. Pressurized chamber to seal oil at 100k+ rpm
C022,Charge Air Cooler (Inter-cooler),Turbocharger System,"C019,C018",12,—,1.5,Aluminium,Cools compressed air before intake. Compact design per McLaren era (RA615H)
C023,Wastegate Actuator,Turbocharger System,C016,4,—,0.2,Stainless Steel,Bypasses excess exhaust; less critical with MGU-H managing boost
C024,Turbocharger Sub-Assembly,Turbocharger System,"C016,C017,C018,C019,C020,C021,C022,C023",12,✓ CRITICAL,—,—,Full turbo unit assembled before mating with MGU-H
C025,MGU-H Rotor & Magnet Assembly,Hybrid – MGU-H,,20,✓ CRITICAL,1.5,High-flux Neodymium Magnets,RA621H: high magnetic flux density magnets + high thermal conductivity insulators
C026,MGU-H Stator Windings,Hybrid – MGU-H,C025,16,✓ CRITICAL,1.2,Copper / Insulated Litz Wire,Converts shaft rotation→electricity (gen mode) or electricity→shaft (motor mode)
C027,MGU-H Housing,Hybrid – MGU-H,"C025,C026",14,✓ CRITICAL,0.8,Inconel (3D-printed),Pressurized chamber for oil sealing. Sandwiched between turbine & compressor
C028,MGU-H Cooling Circuit,Hybrid – MGU-H,C027,8,—,0.3,Aluminium / Polymer,"Maintains thermal limits at 125,000 rpm. Critical for RA621H output targets"
C029,MGU-H Assembly (complete),Hybrid – MGU-H,"C024,C025,C026,C027,C028",10,✓ CRITICAL,—,—,"Mated to turbo shaft. Min weight 4kg. Power ~90-100 kW at 125,000 rpm"
C030,MGU-K Rotor & Magnet Assembly,Hybrid – MGU-K,,18,✓ CRITICAL,2,High-flux Neodymium Magnets,RA621H gear ratio change allows energy recovery at even lower engine speeds
C031,MGU-K Stator Windings,Hybrid – MGU-K,C030,14,✓ CRITICAL,1.8,Copper / Litz Wire,Max output 120 kW / 200 Nm per FIA regs. Housing rigidity increased RA621H for vibration
C032,MGU-K Gear Interface,Hybrid – MGU-K,"C030,C031,C002",10,✓ CRITICAL,0.5,Case-hardened Steel Gears,Connects MGU-K to crankshaft. Shaft weakness (spring design) resolved torsional resonance
C033,MGU-K Housing & Bearing,Hybrid – MGU-K,"C030,C031",8,—,1,Aluminium / Steel Bearings,Bearing support changed 2018; radial load allowance increased after bench-vs-installed failure
C034,MGU-K Assembly (complete),Hybrid – MGU-K,"C030,C031,C032,C033",8,✓ CRITICAL,—,—,Connected to crankshaft gear. Provides up to 160 bhp ERS deployment
